prompt,gt_json,predicted_json,error_category,details,rewritten_query
Подскажи 1 спутник с массой 5 кг и статусом функционирующий.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""5"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""LEO"", ""coverage"": """", ""altitude"": """", ""mass"": ""5 кг"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Hallucination,Hallucination (orbitType: 'LEO'); Wrong Value (mass: got '5 кг' exp '5'),"Спутник с массой 5 кг и статусом функционирующий: один из вариантов - это спутник ""Симба"" (SWAS), но более подходящий пример - это спутник ""Кубсат"", который имеет массу около 5 кг и функционирует на низкой околоземной орбите."
Нужен 6 спутники на солнечно-синхронной орбите для покрытия территория кнр.,"{""orbitType"": ""SSO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""6""}","{""orbitType"": ""SSO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""6""}",No Error,,Для покрытия территории КНР необходимы 6 спутников на солнечно-синхронной орбите.
Выведи неработающий 1 спутник на средней околоземной орбите для африки.,"{""orbitType"": ""MEO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""MEO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,"Неработающий спутник на средней околоземной орбите для Африки: 
- Орбита: Средняя околоземная орбита 
- Масса: Не указана 
- Статус: Неработающий 
- Покрытие: Африка"
Подбери неработающий 1 спутник на солнечно-синхронной орбите для африки.,"{""orbitType"": ""SSO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""SSO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,Неработающий спутник на солнечно-синхронной орбите для Африки: NigeriaSat-1.
Найди 1 спутник с массой 38 кг и статусом неактивный.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""38"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""38"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,Найди 1 неактивный спутник массой 38 кг.
Какой неработающий 1 спутник с форм-фактором кубсат 3u можно использовать для европейский региона нанагеостационарной орбите?,"{""orbitType"": ""GEO"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""3U"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""GEO"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""3U"", ""scale"": """", ""tleDate"": """", ""number"": """"}",Missing,Missing Slot (number: exp '1'),Неработающий спутник форм-фактора КубСат 3U для европейского региона на нанагеостационарной орбите.
Какой в 1 спутник с форм-фактором 1u можно использовать для территория рф на низкой околоземной орбите?,"{""orbitType"": ""LEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""1U"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""LEO"", ""coverage"": ""Россия"", ""altitude"": ""160-2000 км"", ""mass"": ""1,33 кг"", ""status"": ""активен"", ""formFactor"": ""1U"", ""scale"": """", ""tleDate"": """", ""number"": """"}",Hallucination,"Hallucination (altitude: '160-2000 км'); Missing Slot (number: exp '1'); Hallucination (mass: '1,33 кг')","Для территории РФ на низкой околоземной орбите можно использовать спутник с форм-фактором 1U, массой до 1,33 кг, на орбите высотой 160-2000 км, со статусом ""активный"" и покрытием территории России."
Найди 1 спутник с массой 14 кг и статусом вышедший.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""14"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""14"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,"Найди 1 спутник массой 14 кг, вышедший из строя."
Требуется 8 спутники для африканский континента на солнечно-синхронной орбите.,"{""orbitType"": ""SSO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""8""}","{""orbitType"": ""SSO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""8""}",No Error,,Требуется 8 спутников на солнечно-синхронной орбите для обеспечения покрытия африканского континента.
Предоставь 1 спутник для мониторинга европейский регион с высоты 500-800 км.,"{""orbitType"": """", ""coverage"": ""Европа"", ""altitude"": ""500-800 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""SSO"", ""coverage"": ""европейский регион"", ""altitude"": ""786 км"", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Wrong,Wrong Value (altitude: got '786 км' exp '500-800 км'); Hallucination (status: 'активен'); Hallucination (orbitType: 'SSO'); Wrong Value (coverage: got 'европейский регион' exp 'Европа'),"Спутник ""Sentinel-2A"" на высоте 786 км над поверхностью Земли для мониторинга европейского региона."
Предоставь вышедший 1 спутник на геостационарной орбите для европы.,"{""orbitType"": ""GEO"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""GEO"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,"Спутник Astra 1A, вышедший на геостационарную орбиту для покрытия Европы."
Покажи 1 спутник для мониторинга африканский континент с высоты менее 1000 километров.,"{""orbitType"": """", ""coverage"": ""Африка"", ""altitude"": ""<1000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""GEO"", ""coverage"": ""Африка"", ""altitude"": ""менее 1000 км"", ""mass"": ""1700 кг"", ""status"": ""действующий"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Wrong,Wrong Value (altitude: got 'менее 1000 км' exp '<1000 км'); Hallucination (status: 'действующий'); Hallucination (orbitType: 'GEO'); Hallucination (mass: '1700 кг'),"Спутник: ELEKTRO-L №1 
Орбита: геостационарная
Масса: 1700 кг
Статус: действующий
Покрытие: Африка"
Подбери 5 спутники с массой 10 кг и статусом неактивные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""10"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""5""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""10 кг"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""5""}",Wrong,Wrong Value (mass: got '10 кг' exp '10'),"5 спутников с массой 10 кг и статусом неактивные: 
1. Спутник 1 - масса 10 кг, статус неактивный.
2. Спутник 2 - масса 10 кг, статус неактивный.
3. Спутник 3 - масса 10 кг, статус неактивный.
4. Спутник 4 - масса 10 кг, статус неактивный.
5. Спутник 5 - масса 10 кг, статус неактивный."
Дай 1 спутник с массой 10 кг и статусом неработающий.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""10"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""10"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,"Спутник ""Уэстфал"" с массой 10 кг и статусом неработающий."
Предложи 2 спутник для мониторинга арктика с высоты <1000 км.,"{""orbitType"": """", ""coverage"": ""Арктика"", ""altitude"": ""<1000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}","{""orbitType"": ""LEO"", ""coverage"": ""Арктика"", ""altitude"": ""<1000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",Hallucination,Hallucination (orbitType: 'LEO'),"Для мониторинга Арктики с высоты менее 1000 км можно рассмотреть следующие спутники: 1. **Спутник ""Канопус-В""**: Высота орбиты - около 510 км, масса - примерно 400 кг. Этот спутник предназначен для мониторинга поверхности Земли и может обеспечивать наблюдение за Арктикой. 2. **Спутник ""Ресурс-П""**: Высота орбиты - около 475 км, масса - около 6800 кг. Этот спутник также используется для дистанционного зондирования Земли и может быть эффективен для мониторинга Арктики"
Требуется 3 спутник для китая на высокой эллиптической орбите.,"{""orbitType"": ""HEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""3""}","{""orbitType"": ""HEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""3""}",No Error,,Требуются 3 спутника для Китая на высокой эллиптической орбите.
"Мне нужен 10 спутники с форм-фактором 12u, массой 29 кг для северный полюса.","{""orbitType"": """", ""coverage"": ""Арктика"", ""altitude"": """", ""mass"": ""29"", ""status"": """", ""formFactor"": ""12U"", ""scale"": """", ""tleDate"": """", ""number"": ""10""}","{""orbitType"": ""Полярная орбита"", ""coverage"": ""Северный полюс"", ""altitude"": """", ""mass"": ""29"", ""status"": ""активен"", ""formFactor"": ""12u"", ""scale"": """", ""tleDate"": """", ""number"": ""10""}",Hallucination,Hallucination (status: 'активен'); Hallucination (orbitType: 'Полярная орбита'); Wrong Value (formFactor: got '12u' exp '12U'); Wrong Value (coverage: got 'Северный полюс' exp 'Арктика'),"Ищу спутники с характеристиками: 
   - Форм-фактор: 12u
   - Масса: 29 кг
   - Орбита: Поларная орбита (для покрытия северного полюса)
   - Статус: Активные или запланированные к запуску
   - Покрытие: Северный полюс"
Существуют ли 7 спутники с массой более 26 кг и статусом в?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""26"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""7""}","{""orbitType"": ""орбита"", ""coverage"": """", ""altitude"": """", ""mass"": ""26"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""7""}",Hallucination,Hallucination (orbitType: 'орбита'),"Существуют ли 7 спутников на орбите с массой более 26 кг и статусом ""активный""?"
Покажи 7 спутники с массой 16 кг и статусом вышедшие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""16"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""7""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""16"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""7""}",No Error,,"7 спутников с массой 16 кг и статусом ""вышедшие из строя""."
Выведи неработающий 1 спутник на высокой эллиптической орбите для африки.,"{""orbitType"": ""HEO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""HEO"", ""coverage"": ""Африка"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,"Неработающий спутник на высокой эллиптической орбите для Африки: 
- Орбита: Высокая эллиптическая орбита
- Масса: Не указана
- Статус: Неработающий
- Покрытие: Африка"
Предложи неактивные 4 спутник на низкой околоземной орбите для территория рф.,"{""orbitType"": ""LEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""4""}","{""orbitType"": ""НОО"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""4""}",Wrong,Wrong Value (orbitType: got 'НОО' exp 'LEO'),"Неактивные спутники на низкой околоземной орбите (НОО) для территории РФ: 
1. ""Космос-1408"" - масса 2,4 т, статус - неактивен.
2. ""Метеор-2-21"" - масса 1,3 т, статус - неактивен.
3. ""Радуга-1"" - масса 1,9 т, статус - неактивен.
4. ""Глонасс-М 713"" - масса 1,4 т, статус - неактивен."
Ищи 5 спутники с массой 38 кг и статусом активные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""38"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""5""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""38"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""5""}",No Error,,"Ищу спутники с массой 38 кг и статусом ""активные""."
Покажи 3 спутник с массой 37 кг и статусом неработающие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""37"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""3""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""37 кг"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""3""}",Wrong,Wrong Value (mass: got '37 кг' exp '37'),"Вот три спутника с массой 37 кг и статусом ""неработающие"":
1. Спутник ""Активный"" - масса 37 кг, орбита низкая, статус неработающий.
2. Спутник ""Космос-1"" - масса 37 кг, орбита средняя, статус неработающий.
3. Спутник ""Экспресс-3"" - масса 37 кг, орбита высокая, статус неработающий."
Требуется 6 спутники для европы на орбите молния.,"{""orbitType"": ""Molniya"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""6""}","{""orbitType"": ""Molniya"", ""coverage"": ""Европа"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""6""}",No Error,,Для покрытия территории Европы на орбите Молния необходимы 6 спутников.
Существуют ли 10 спутники с массой более 46 кг и статусом неработающие?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""46"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""10""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""46"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""10""}",No Error,,"Есть ли 10 спутников с массой более 46 кг, которые в настоящее время не функционируют?"
Найди 9 спутники с массой 26 кг и статусом неактивные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""26"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""26"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}",No Error,,Найди 9 спутников с массой 26 кг и статусом неактивные.
Какой функционирующие 6 спутники с форм-фактором 12u можно использовать для территория рф на солнечно-синхронной орбите?,"{""orbitType"": ""SSO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""12U"", ""scale"": """", ""tleDate"": """", ""number"": ""6""}","{""orbitType"": ""SSO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": ""24 кг"", ""status"": ""активен"", ""formFactor"": ""12U"", ""scale"": """", ""tleDate"": """", ""number"": """"}",Missing,Missing Slot (number: exp '6'); Hallucination (mass: '24 кг'),"Какие функционирующие спутники с форм-фактором 12U, массой до 24 кг, находящиеся на солнечно-синхронной орбите, могут обеспечить покрытие территории РФ?"
Предоставь 2 спутник для мониторинга россия с высоты 2000-20000 км.,"{""orbitType"": """", ""coverage"": ""Россия"", ""altitude"": ""2000-20000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}","{""orbitType"": """", ""coverage"": ""Россия"", ""altitude"": ""2000-20000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",No Error,,"Для мониторинга России с высоты 2000-20000 км можно рассмотреть следующие спутники: 
 1. Спутник ""Ресурс-П"" - масса 6800 кг, орбита круговая, высота 475-515 км, статус - действующий, покрытие - оптическая и радиолокационная съемка. 
 2. Спутник ""Электро-Л"" - масса 2600 кг, орбита геостационарная, высота 36000 км, статус - действующий, покрытие - метеорологическое наблюдение."
Существуют ли 9 спутники с массой более 16 кг и статусом вышедшие?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""16"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}","{""orbitType"": ""на орбите"", ""coverage"": """", ""altitude"": """", ""mass"": ""16"", ""status"": ""неактивен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}",Wrong,Wrong Value (status: got 'неактивен' exp 'активен'); Hallucination (orbitType: 'на орбите'),"Существуют ли 9 спутников на орбите с массой более 16 кг и статусом ""вышедшие из строя""?"
Выведи 2 спутник с массой 27 кг и статусом работающие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""27"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""27"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",No Error,,"1. Спутник ""Айтос"" - масса 27 кг, статус - работает.
2. Спутник ""Флок 1"" - масса 27 кг, статус - работает."
"Мне нужен 2 спутник с форм-фактором кубсат 12u, массой 26 кг для территория рф.","{""orbitType"": """", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": ""26"", ""status"": """", ""formFactor"": ""12U"", ""scale"": """", ""tleDate"": """", ""number"": ""2""}","{""orbitType"": """", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": ""26"", ""status"": """", ""formFactor"": ""12U"", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",No Error,,"Ищу спутники с характеристиками: 
   - форм-фактор: кубсат 12u
   - масса: 26 кг
   - покрытие: территория РФ
   - орбита: не указана
   - статус: не указан"
"Мне нужен 1 спутник с форм-фактором 12u, массой 27 кг для китайский региона.","{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": ""27"", ""status"": """", ""formFactor"": ""12U"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": ""27"", ""status"": """", ""formFactor"": ""12U"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,"Ищу спутник с характеристиками: 
- орбита: не указана
- масса: 27 кг
- статус: не указан
- покрытие: Китайский регион
- форм-фактор: 12u"
"Мне нужен 8 спутники с форм-фактором кубсат 1u, массой 2 кг для китая.","{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": ""2"", ""status"": """", ""formFactor"": ""1U"", ""scale"": """", ""tleDate"": """", ""number"": ""8""}","{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": ""2 кг"", ""status"": """", ""formFactor"": ""1U"", ""scale"": """", ""tleDate"": """", ""number"": ""8""}",Wrong,Wrong Value (mass: got '2 кг' exp '2'),"Вам необходимы спутники формата КубСат 1U с массой 2 кг, предназначенные для Китая. Какой тип орбиты вы ищете (например, низкая околоземная орбита, солнечная синхронная орбита)? Какой статус спутников вас интересует (активные, запланированные к запуску, выведенные из эксплуатации)? И какой географический регион или покрытие этих спутников вас интересует?"
Нужен 2 спутник на средней околоземной орбите для покрытия китай.,"{""orbitType"": ""MEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}","{""orbitType"": ""MEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",No Error,,Для покрытия территории Китая необходимы 2 спутника на средней околоземной орбите.
